inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
PPG-20 Methyl Glucose Ether Distearate,,-1.00,,,
PPG-20-Buteth-30,,-1.00,,,
PPG-22 Butyl Ether,,-1.00,,,
PPG-23-PEG-4 Trimethylolpropane,,-1.00,,,
PPG-24-Buteth-27,,-1.00,,,
Oleth-15,,-1.00,,,
PEG-4 Sorbitan Stearate,,-1.00,,,
PPG-25-Laureth-25,,-1.00,,,
PPG-3 Caprylyl Ether,,-1.00,,,
PPG-3 Myristyl Ether,,-1.00,,,
PPG-3-Buteth-5,,-1.00,,,
PPG-3-Deceth-2 Carboxylic Acid,,-1.00,,,
PPG-3-Myreth-11,,-1.00,,,
PPG-3-PEG-6 Oleyl Ether,,-1.00,,,
PPG-30 Butyl Ether,,-1.00,,,
PPG-30-Capryleth-4 Phosphate,,-1.00,,,
PPG-33-Buteth-45,,-1.00,,,
PPG-34-Steareth-3,,-1.00,,,
PPG-35 Butyl Ether Phosphate,,-1.00,,,
PPG-4 C13-15 Pareth-15,,-1.00,,,
PPG-36 Oleate,,-1.00,,,
PPG-38-Buteth-37,,-1.00,,,
PPG-4 Laureth-2,,-1.00,,,
PPG-4 Trideceth-6,,-1.00,,,
PPG-4-Ceteth-10,,-1.00,,,
PPG-4-Ceteth-20,,-1.00,,,
PPG-4-Ceteth-5,,-1.00,,,
PPG-5 Butyl Ether,,-1.00,,,
PPG-5-Buteth-7,,-1.00,,,
PPG-5-Ceteth-10 Phosphate,,-1.00,,,
PPG-5-Ceteth-20,,-1.00,,,
PPG-5-Laureth-5,,-1.00,,,
PPG-50 Oleyl Ether,,-1.00,,,
PPG-6 C9-11 Pareth-5,,-1.00,,,
PPG-6-Deceth-9,,-1.00,,,
PPG-53 Butyl Ether,,-1.00,,,
Diglycol/Isophthalates/SIP Copolymer,,-1.00,,,
PPG-6 Trideceth-8,,-1.00,,,
PPG-6-Decyltetradeceth-20,,-1.00,,,
PPG-6-Laureth-3,,-1.00,,,
PPG-68-PEG-10 Trimethylolpropane,,-1.00,,,
PPG-70 Polyglyceryl-10 Ether,,-1.00,,,
PPG-8-Ceteth-1,,-1.00,,,
PPG-8-Ceteth-10,,-1.00,,,
PPG-8-Ceteth-20,,-1.00,,,
PPG-8-Ceteth-5,,-1.00,,,
PPG-9 Laurate,,-1.00,,,
PPG-90 Butyl Ether,,-1.00,,,
Fenarimol,,-1.00,,,
Poloxamer 101,,-1.00,,,
Poloxamer 108,,-1.00,,,
Poloxamer 122,,-1.00,,,
Poloxamer 124,,-1.00,,,
Poloxamer 212,,-1.00,,,
Poloxamer 215,,-1.00,,,
Poloxamer 217,,-1.00,,,
Poloxamer 234,,-1.00,,,
Poloxamer 237,,-1.00,,,
Poloxamer 238,,-1.00,,,
Poloxamer 282,,-1.00,,,
Poloxamer 284,,-1.00,,,
Poloxamer 288,,-1.00,,,
Poloxamer 401,,-1.00,,,
Sodium Grapeseedamidopropyl PG-Dimonium Chloride Phosphate,,-1.00,,,
PEG/PPG-8/2 Propylheptyl Ether,,-1.00,,,
Poloxamer 333,,-1.00,,,
Poloxamer 334,,-1.00,,,
Poloxamer 338,,-1.00,,,
Poloxamine 1304,,-1.00,,,
Poloxamine 1501,,-1.00,,,
Poloxamine 1508,,-1.00,,,
Poloxamine 304,,-1.00,,,
Poloxamine 701,,-1.00,,,
Poloxamine 904,,-1.00,,,
Poloxamine 908,,-1.00,,,
Poly C10-30 Alkyl Acrylate,,-1.00,,,
Polyacrylate-13,,-1.00,,,
Polyamino Sugar Condensate,,-1.00,,,
Polyglyceryl-8 Decabehenate/Caprate,,-1.00,,,
Polyglyceryl-10 Behenate,,-1.00,,,
Polyglyceryl-10 Decamacadamiate,,-1.00,,,
Polyglyceryl-10 Didecanoate,,-1.00,,,
Polyglyceryl-10 Diisostearate,,-1.00,,,
Polyglyceryl-10 Dilaurate,,-1.00,,,
Polyglyceryl-10 Dimyristate,,-1.00,,,
Polyglyceryl-10 Dioleate,,-1.00,,,
Polyglyceryl-10 Dipalmitate,,-1.00,,,
Polyglyceryl-10 Distearate,,-1.00,,,
Polyglyceryl-10 Heptahydroxystearate,,-1.00,,,
Polyglyceryl-10 Hydroxypropyl Ethylhexyl Ether,,-1.00,,,
Polyglyceryl-10 Nonaerucate,,-1.00,,,
Polyglyceryl-10 Pentaisostearate,,-1.00,,,
Polyglyceryl-10 Polyhydroxystearate,,-1.00,,,
Polyglyceryl-10 Myristate,,-1.00,,,
Polyglyceryl-10 Oleate,,-1.00,,,
Polyglyceryl-10 Pentalaurate,,-1.00,,,
Polyglyceryl-10 Pentalinoleate,,-1.00,,,
Polyglyceryl-10 Pentaoleate,,-1.00,,,
Polyglyceryl-10 Pentaricinoleate,,-1.00,,,
Polyglyceryl-10 Pentastearate,,-1.00,,,
Polyglyceryl-10 Polyricinoleate,,-1.00,,,
Polyglyceryl-10 Tetradecanedioate,,-1.00,,,
Polyglyceryl-10 Tridecanoate,,-1.00,,,
Polyglyceryl-10 Undecylenate,,-1.00,,,
Polyglyceryl-2 Distearate,,-1.00,,,
Polyglyceryl-2 Lanolin Alcohol Ether,,-1.00,,,
Polyglyceryl-2 Laurate,,-1.00,,,
PEG-40 Sorbitan Lanolate,,-1.00,,,
Polyglyceryl-2 Dioleate,,-1.00,,,
Polyglyceryl-2 Palmitate,,-1.00,,,
Polyglyceryl-2 Sorbitan Tetraethylhexanoate,,-1.00,,,
Polyglyceryl-2 Stearate,,-1.00,,,
Polyglyceryl-2 Triisostearate,,-1.00,,,
Polyglyceryl-2-PEG-4 Stearate,,-1.00,,,
Polyglyceryl-3 Caprylate,,-1.00,,,
Polyglyceryl-3 Cetearyl Ether Olivate,,-1.00,,,
Polyglyceryl-3 Cocoate,,-1.00,,,
Polyglyceryl-3 Dicaprate,,-1.00,,,
Polyglyceryl-3 Dioleate,,-1.00,,,
Polyglyceryl-3 Hydroxylauryl Ether,,-1.00,,,
Polyglyceryl-3 Oleate,,-1.00,,,
PEG-12 Laurate,,-1.00,,,
PPG-2-Ceteth-1,,-1.00,,,
Polyglyceryl-3 Rice Branate Phosphate,,-1.00,,,
Polyglyceryl-3 Ricinoleate,,-1.00,,,
Polyglyceryl-3 Stearate,,-1.00,,,
Polyglyceryl-3 Stearate SE,,-1.00,,,
Polyglyceryl-3 Tetrastearate,,-1.00,,,
Polyglyceryl-3 Triisostearate,,-1.00,,,
Polyglyceryl-4 Caprylate,,-1.00,,,
Polyglyceryl-4 Dilaurate,,-1.00,,,
Polyglyceryl-4 Distearate,,-1.00,,,
Polyglyceryl-4 Laurate,,-1.00,,,
Polyglyceryl-4 Lauryl Ether,,-1.00,,,
Polyglyceryl-4 Oleyl Ether Olivate,,-1.00,,,
Polyglyceryl-4 Stearate,,-1.00,,,
Polyglyceryl-4 Tristearate,,-1.00,,,
Polyglyceryl-5 Bis,,-1.00,,,
Polyglyceryl-5 Dioleate,,-1.00,,,
Polyglyceryl-5 Laurate,,-1.00,,,
Polyglyceryl-5 Myristate,,-1.00,,,
Polyglyceryl-5 Oleate,,-1.00,,,
Polyglyceryl-5 Pentamyristate,,-1.00,,,
Polyglyceryl-5 Polyricinoleate,,-1.00,,,
Polyglyceryl-5 Stearate,,-1.00,,,
Polyglyceryl-6 Argan Kernelate,,-1.00,,,
Polyglyceryl-6 Bis,,-1.00,,,
Polyglyceryl-6 Caprate,,-1.00,,,
Polyglyceryl-6 Dipalmitate,,-1.00,,,
Polyglyceryl-5 Tristearate,,-1.00,,,
Polyglyceryl-6 Distearate,,-1.00,,,
Polyglyceryl-6 Octacaprylate,,-1.00,,,
Polyglyceryl-6 Oleate,,-1.00,,,
Polyglyceryl-6 Palmitate,,-1.00,,,
Polyglyceryl-6 Pentaoleate,,-1.00,,,
Polyglyceryl-6 Pentastearate,,-1.00,,,
Polyglyceryl-6 Ricinoleate,,-1.00,,,
Polyglyceryl-6 Sesquistearate,,-1.00,,,
Polyglyceryl-6 Stearate,,-1.00,,,
Polyglyceryl-6 Tricaprylate,,-1.00,,,
Polyglyceryl-6 Undecylenate,,-1.00,,,
Polyglyceryl-8 Oleate,,-1.00,,,
Polyglyceryl-8 Stearate,,-1.00,,,
PEG-7 Olive Glycerides,,-1.00,,,
Polyoxyethylene Hydrogenated Castor Oil,,-1.00,,,
Polyoxypropylene Sorbitol Ricinoleate,,-1.00,,,
Polyquaternium-67,,-1.00,,,
Polysilicone-10,,-1.00,,,
Polysorbate 20 Dicinnamate,,-1.00,,,
Polysorbate 21,,-1.00,,,
Polysorbate 40,,-1.00,,,
Polysorbate 61,,-1.00,,,
Polysorbate 65,,-1.00,,,
Polysorbate 80 Acetate,,-1.00,,,
Potassium C11-15 Alkyl Phosphate,,-1.00,,,
Potassium C9-15 Alkyl Phosphate,,-1.00,,,
Potassium Deceth-4 Phosphate,,-1.00,,,
Ethylenediamine/Hydrogenated Dimer Dilinoleate Copolymer Bis-Di-C14-18 Alkyl Amide,,-1.00,,,
Ethylene/VA Copolymer,,-1.00,,,
Potassium Cyclocarboxypropyloleate,,-1.00,,,
Potassium Hempseedate,,-1.00,,,
Potassium Perfluorohexyl Ethylphosphate,,-1.00,,,
Potassium Undecylenoyl Carrageenan,,-1.00,,,
Propylene Glycol Ceteth-3 Propionate,,-1.00,,,
Propylene Glycol Dilaurate,,-1.00,,,
Propylene Glycol Isoceteth-3 Acetate,,-1.00,,,
Propylene Glycol Isodeceth-4,,-1.00,,,
Propylene Glycol Laurate,,-1.00,,,
Propylene Glycol Laureth-6,,-1.00,,,
Propylene Glycol Oleth-5,,-1.00,,,
Ceteareth-7,"emulsifying, surfactant/cleansing",-1.00,,,
Ceteareth-8,,-1.00,,,
Ceteareth-80,surfactant/cleansing,-1.00,,,
Cetearyl Phosphate,skin conditioning,-1.00,,,
Ceteth-12,,-1.00,,,
Ceteth-7 Stearate,,-1.00,,,
Choleth-5,,-1.00,,,
DMPA/PPG-36/SMDI Copolymer,,-1.00,,,
Fibroin/PEG-16/Sodium Acrylate Copolymer,,-1.00,,,
Polysorbate 80 Dicinnamate,,-1.00,,,
Ceteareth-2,"emulsifying, surfactant/cleansing",-1.00,,,
Propylene Glycol Stearate,,-1.00,,,
Propylene Glycol Stearate SE,,-1.00,,,
Ricinoleth-40,,-1.00,,,
Glyceryl Ethylhexanoate/Stearate/Adipate,,-1.00,,,
Glyceryl Isostearate/Myristate,,-1.00,,,
Glyceryl Stearate/Malate,,-1.00,,,
Glyceryl/Sorbitol Oleate/Hydroxystearate,,-1.00,,,
PEG-20 Tallow Amine,,-1.00,,,
PEG-80 Glyceryl Cocoate,,-1.00,,,
PPG-2-Isodeceth-10,,-1.00,,,
Polyglyceryl-2 Tetrastearate,,-1.00,,,
Sodium Caproyl Prolinate,,-1.00,,,
Sodium Carboxymethyl Chitosan Lauramide,,-1.00,,,
Sodium Dextrin Octenylsuccinate,,-1.00,,,
Sodium Dipalmitoyl Glycerophosphate,,-1.00,,,
Sodium Hydroxystearate,,-1.00,,,
HDI/PPG/Polycaprolactone Crosspolymer,,-1.00,,,
HEA IPDI Isocyanurate Trimer/Polycaprolactone Diol Copolymer,,-1.00,,,
PEG/PPG-25/25 Dimethicone/Acrylates Copolymer,,-1.00,,,
Sodium Hydroxypropylphosphate Decylglucoside Crosspolymer,,-1.00,,,
Sodium Isostearate,,-1.00,,,
Sodium Isosteareth-11 Carboxylate,,-1.00,,,
Sodium Isostearoyl Lactylate,,-1.00,,,
Sodium Methoxy PPG-2 Acetate,,-1.00,,,
Sodium Oleate,,-1.00,,,
Sodium Oleth-8 Phosphate,,-1.00,,,
Sodium Olivoyl Glutamate,,-1.00,,,
Sodium PEG-8 Palm Glycerides Carboxylate,,-1.00,,,
Undeceth-40,,-1.00,,,
Hexylene Glycol/Neopentyl Glycol/Adipic Acid/SMDI/DMPA Copolymer,,-1.00,,,
Laneth-16,,-1.00,,,
Sodium Sesameseedate,,-1.00,,,
Sodium Stearoyl Lactylate,,-1.00,,,
Sodium Stearoyl Pea Protein,,-1.00,,,
Sodium Trideceth-3 Carboxylate,,-1.00,,,
Sorbeth-40 Hexaoleate,,-1.00,,,
Sorbeth-60 Tetrastearate,,-1.00,,,
Sorbitan Caprylate,,-1.00,,,
Sorbitan Cocoate,,-1.00,,,
Sorbitan Dioleate,,-1.00,,,
Sorbitan Fatty Acid Ester,,-1.00,,,
Sorbitan Isostearate,,-1.00,,,
PEG-40 Glyceryl Cocoate,,-1.00,,,
Sorbitan Distearate,,-1.00,,,
Sorbitan Palmitate,,-1.00,,,
Sorbitan Sesquicaprylate,,-1.00,,,
Sorbitan Sesquiisostearate,,-1.00,,,
Sorbitan Stearate,,-1.00,,,
Sorbitan Trioleate,,-1.00,,,
Sorbitan Undecylenate,,-1.00,,,
Stearamidoethyl Diethylamine,,-1.00,,,
Stearamidoethyl Ethanolamine,,-1.00,,,
Steareth-10,,-1.00,,,
Steareth-100,,-1.00,,,
Steareth-12 Stearate,,-1.00,,,
Steareth-14,,-1.00,,,
Steareth-3,,-1.00,,,
Steareth-30,,-1.00,,,
Steareth-40,,-1.00,,,
Steareth-5,,-1.00,,,
Steareth-5 Stearate,,-1.00,,,
Steareth-50,,-1.00,,,
Steareth-60 Cetyl Ether,,-1.00,,,
Steareth-8,,-1.00,,,
Steareth-80,,-1.00,,,
Sucrose Dilaurate,,-1.00,,,
Sucrose Palmitate,,-1.00,,,
Sulfated Olive Oil,,-1.00,,,
Sunflower Glycerides Citrate,,-1.00,,,
TEA-C12-13 Alkyl Phosphate,,-1.00,,,
TEA-C8-18 Perfluoroalkylethyl Phosphate,,-1.00,,,
PEG-6 Sorbitan Stearate,,-1.00,,,
Polyglyceryl-3 Isostearate,,-1.00,,,
TEA-Dimethicone PEG-7 Phosphate,,-1.00,,,
TEA-Glyceryl Dimaleate,,-1.00,,,
TEA-Oleate,,-1.00,,,
TIPA-Stearate,,-1.00,,,
Talloweth-7,,-1.00,,,
Tocophereth-12,,-1.00,,,
Tocophereth-50,,-1.00,,,
Tri-C12-15 Pareth-10 Phosphate,,-1.00,,,
Tri-PPG-3 Myristyl Ether Citrate,,-1.00,,,
Trideceth-21,,-1.00,,,
Trideceth-3,,-1.00,,,
Trideceth-4,,-1.00,,,
IPDI/PEG-15 Cocamine Copolymer,,-1.00,,,
IPDI/PEG-15 Cocamine/Glycereth-7/Polyglyceryl-3 Copolymer,,-1.00,,,
IPDI/PEG-15 Soyamine Oxide Copolymer,,-1.00,,,
Isobutylmethacrylate/Bis-Hydroxypropyl Dimethicone Acrylate Copolymer,,-1.00,,,
Trideceth-5,,-1.00,,,
Trideceth-7,,-1.00,,,
Trideceth-8 Carboxylic Acid,,-1.00,,,
Trideceth-9,,-1.00,,,
Triglycereth-7 Citrate,,-1.00,,,
Trilaureth-4 Phosphate,,-1.00,,,
Trimethylolpropane,,-1.00,,,
Triolein PEG-6 Esters,,-1.00,,,
Trioleth-8 Phosphate,,-1.00,,,
Tris-Oleoyltromethamine Ethane Sulfonic Acid,,-1.00,,,
Isophorone Diamine/Cyclohexylamine/Isophthalic Acid/Azelaic Acid Copolymer,,-1.00,,,
Diceteareth-10 Phosphate,,-1.00,,,
Isophorone Diamine/Isophthalic Acid/Tromethamine Copolymer,,-1.00,,,
PEG-20 Hydrogenated Lanolin,,-1.00,,,
PEG-3 Sorbitan Stearate,,-1.00,,,
PEG-8 Dimethicone/Polysorbate 20 Crosspolymer,,-1.00,,,
PPG-2-Deceth-30,,-1.00,,,
Poloxamine 604,,-1.00,,,
Polyglyceryl-2 Oleyl Ether,,-1.00,,,
Polyglyceryl-5 Tribehenate,,-1.00,,,
Undeceth-5,,-1.00,,,
Undeceth-9,,-1.00,,,
Undecyl Dimethyl Oxazoline,,-1.00,,,
Vinyl Acetate,,-1.00,,,
Dimethicone PEG-10 Phosphate,,-1.00,,,
Dipalmoylethyl Hydroxyethylmonium Methosulfate,,-1.00,,,
Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,,-1.00,,,
Dihydrogenated Tallow Methylamine,,-1.00,,,
Methoxy PEG-100/Polyepsilon Caprolactone Palmitate,,-1.00,,,
Nonoxynol-3 Phosphate,,-1.00,,,
Nonyl Nonoxynol-49,,-1.00,,,
Oleth-82,,-1.00,,,
PEG-16 Soy Sterol,,-1.00,,,
PEG-20 Castor Oil,,-1.00,,,
PEG-20 Methyl Glucose Distearate,,-1.00,,,
PEG-50 Glyceryl Isostearate,,-1.00,,,
PEG-9 Castor Oil,,-1.00,,,
PPG-9-Buteth-12,,-1.00,,,
C12-16 Pareth-9,"emulsifying, surfactant/cleansing",-1.00,,,
PEG-10 Oleamine,,-1.00,,,
C12-14 Sec-Pareth-12,"emulsifying, surfactant/cleansing, emulsion stabilising",-1.00,,,
PEG-105 Behenyl Propylenediamine,,-1.00,,,
PEG-18 Castor Oil Dioleate,,-1.00,,,
PEG-20 Sorbitan Triisostearate,,-1.00,,,
PEG-3 Castor Oil,,-1.00,,,
PEG-32 Laurate,,-1.00,,,
PEG-45 Stearate,,-1.00,,,
PEG-8 Ricinoleate,,-1.00,,,
PPG-1-Deceth-6,,-1.00,,,
TEA-PEG-50 Hydrogenated Castor Oil Succinate,,-1.00,,,
Triisostearin PEG-6 Esters,,-1.00,,,
Cetyl C12-15-Pareth-9 Carboxylate,,-1.00,,,
Hydrogenated Laneth-20,,-1.00,,,
2-Chloro-6-ethylamino-4-nitrophenol and its salts,Colorant,,,,
Ceteth-8 Phosphate,,-1.00,,,
Methyl Glucose Sesquistearate,,-1.00,,,
Oleth-3 Phosphate,,-1.00,,,
PEG-150 Laurate,,-1.00,,,
PEG-60 Lanolin,,-1.00,,,
PPG-6-Decyltetradeceth-12,,-1.00,,,
Polyglyceryl-4-PEG-2 Cocamide,,-1.00,,,
Potassium Octoxynol-12 Phosphate,,-1.00,,,
Sorbeth-60 Tetraoleate,,-1.00,,,
Stearoyl Glutamic Acid,,-1.00,,,
Sulfurized TEA-Ricinoleate,,-1.00,,,
Dimethicone PEG-7 Octyldodecyl Citrate,,-1.00,,,
Dimethicone PEG-8 Laurate,,-1.00,,,
Lauryl PEG-8 Dimethicone/Dimer Dilinoleate Copolymer,,-1.00,,,
DEA-Polyperfluoroethoxymethoxy PEG-2 Phosphate,,-1.00,,,
PEG-20 Hydrogenated Castor Oil PCA Isostearate,,-1.00,,,
PEG-40 Glyceryl Triisostearate,,-1.00,,,
PEG-5 Glyceryl Isostearate,,-1.00,,,
PPG-15-Buteth-20,,-1.00,,,
Polyglyceryl-10 Hexaoleate,,-1.00,,,
Polyglyceryl-12 Bis,,-1.00,,,
Polyglyceryl-6 Pentaricinoleate,,-1.00,,,
Polysorbate 81,,-1.00,,,
Sorbeth-2 Hexaoleate,,-1.00,,,
PEG-10 Isolauryl Thioether,,-1.00,,,
C22-24 Pareth-33,,-1.00,,,
PEG-3 Sorbitan Oleate,,-1.00,,,
PEG-5 Hydrogenated Castor Oil Triisostearate,,-1.00,,,
PEG-65M,,-1.00,,,
PEG-9 Oleate,,-1.00,,,
Polyglyceryl-10 Decaisostearate,,-1.00,,,
Polyglyceryl-3 Hydroxypropyl Ethylhexyl Ether,,-1.00,,,
Polyglyceryl-6 Isostearate,,-1.00,,,
Polyglyceryl-6 Tristearate,,-1.00,,,
Sodium Isostearoyl Lactate,,-1.00,,,
Sodium Lignosulfonate,,-1.00,,,
Sorbitan Oleate Decylglucoside Crosspolymer,,-1.00,,,
Tri-C12-15 Pareth-6 Phosphate,,-1.00,,,
Ethoxydiglycol Acrylate,,-1.00,,,
Ethyl Methacrylate,,-1.00,,,
Glycereth-20 Stearate,,-1.00,,,
Glycol Dimethacrylate,,-1.00,,,
Dodoxynol-13,,-1.00,,,
Methoxy PEG-17/Methoxy PEG-11/HDI Crosspolymer,,-1.00,,,
PEG-140 Glyceryl Tristearate,,-1.00,,,
PEG-15 Glyceryl Laurate,,-1.00,,,
PEG-15 Glyceryl Tristearate,,-1.00,,,
PEG-6 Almond Glycerides,,-1.00,,,
PPG-2-Deceth-20,,-1.00,,,
PPG-25 Diethylmonium Chloride,,-1.00,,,
PPG-5 C12-14 Sec-Pareth-9,,-1.00,,,
Glycidyl C8-11 Acidate/Glycerin/Phthalic Anhydride Copolymer,,-1.00,,,
Glycol Stearate SE,,-1.00,,,
Hydrogenated Brassica Alcohol,,-1.00,,,
Hydrogenated Ditallowamine,,-1.00,,,
Hydroxyethyl Palmityl Oxyhydroxypropyl Palmitamide,,-1.00,,,
Hydroxypropylcocoate PEG-8 Dimethicone,,-1.00,,,
Isoceteth-12,,-1.00,,,
Isoceteth-5,,-1.00,,,
Isostearamidopropyl Dimethylamine,,-1.00,,,
Isosteareth-50,,-1.00,,,
Isostearyl Diglyceryl Succinate,,-1.00,,,
Laneth-60,,-1.00,,,
Laureth-40,,-1.00,,,
Meroxapol 172,,-1.00,,,
Meroxapol 252,,-1.00,,,
Methacryloylethyl Phosphate,,-1.00,,,
Methoxy PEG-11 Methoxy PPG-24 Dimethicone,,-1.00,,,
Methoxy PEG-40,,-1.00,,,
Methyl Glucose Dioleate,,-1.00,,,
Methylsilanol PEG-7 Glyceryl Cocoate,,-1.00,,,
Monoglycerides Succinate,,-1.00,,,
Octyldodeceth-10,,-1.00,,,
Octyldodeceth-16,,-1.00,,,
Oleth-35,,-1.00,,,
Oleth-4,,-1.00,,,
Oleth-40,,-1.00,,,
Oleth-6,,-1.00,,,
PEG-10,,-1.00,,,
PEG-10 Olive Glycerides,,-1.00,,,
PEG-10 Stearate,,-1.00,,,
PEG-12 Glyceryl Dioleate,,-1.00,,,
PEG-120 Stearate,,-1.00,,,
PEG-15 Glyceryl Stearate,,-1.00,,,
PEG-15 Hydrogenated Castor Oil Triisostearate,,-1.00,,,
PEG-150 Oleate,,-1.00,,,
PEG-16 Oleate,,-1.00,,,
PEG-18 Palm Glycerides,,-1.00,,,
PEG-190 Distearate,,-1.00,,,
PEG-2 Caprylylamine,,-1.00,,,
Palmitamidopropyl Dimethylamine Propionate,,-1.00,,,
PEG-2 Stearate,,-1.00,,,
PEG-2 Sunflower Glycerides,,-1.00,,,
PEG-20 Glyceryl Diisostearate,,-1.00,,,
PEG-20 Laurate,,-1.00,,,
PEG-20 Methyl Glucose Sesquilaurate,,-1.00,,,
PEG-20 Oleate,,-1.00,,,
PEG-20 Tallowate,,-1.00,,,
PEG-20-PPG-10 Glyceryl Stearate,,-1.00,,,
PEG-200 Glyceryl Stearate,,-1.00,,,
PEG-23 Glyceryl Distearate,,-1.00,,,
PEG-25 Glyceryl Stearate,,-1.00,,,
PEG-25 Hydrogenated Castor Oil,,-1.00,,,
PEG-25 Moringa Glycerides,,-1.00,,,
PEG-30 Dipolyhydroxystearate,,-1.00,,,
PEG-30 Glyceryl Isostearate,,-1.00,,,
PEG-30 Glyceryl Laurate,,-1.00,,,
PEG-30 Tallow Amine,,-1.00,,,
PEG-36 Oleate,,-1.00,,,
PEG-4 Distearyl Ether,,-1.00,,,
PEG-4 Glyceryl Distearate,,-1.00,,,
PEG-4 Stearate,,-1.00,,,
PEG-40 Glyceryl Trioleate,,-1.00,,,
PEG-40 Sorbitan Diisostearate,,-1.00,,,
PEG-40 Sorbitan Perisostearate,,-1.00,,,
PEG-40 Sorbitan Peroleate,,-1.00,,,
PEG-40 Soy Sterol,,-1.00,,,
PEG-45 Stearate Phosphate,,-1.00,,,
PEG-5 Glyceryl Tristearate,,-1.00,,,
PEG-5 Lanolin,,-1.00,,,
PEG-5 Pentaerythrityl Ether,,-1.00,,,
PEG-5 Tricetyl Citrate,,-1.00,,,
PEG-50 Castor Oil,,-1.00,,,
PEG-50 Stearate,,-1.00,,,
PEG-55 Castor Oil,,-1.00,,,
PEG-6 Butylene Glycol Laurate,,-1.00,,,
PEG-6 Laurate,,-1.00,,,
PEG-60 Castor Oil,,-1.00,,,
PEG-60 Castor Oil Isostearate,,-1.00,,,
PEG-60 Sorbitan Stearate,,-1.00,,,
PEG-60 Sorbitan Tetraoleate,,-1.00,,,
PEG-60 Sorbitan Tetrastearate,,-1.00,,,
PEG-65 Hydrogenated Castor Oil,,-1.00,,,
PEG-75 Stearate,,-1.00,,,
PEG-8 Caprylate,,-1.00,,,
PEG-8 Cocoate,,-1.00,,,
PEG-8 Dodecenylsuccinate,,-1.00,,,
PEG-8 Stearate,,-1.00,,,
PEG-8 Tallate,,-1.00,,,
PEG-8 Trisiloxane,,-1.00,,,
PEG-80 Castor Oil,,-1.00,,,
PEG-80 Hydrogenated Dimer Dilinoleate,,-1.00,,,
PEG-80 Hydrogenated Glyceryl Palmate,,-1.00,,,
PEG-80 Sorbitan Palmitate,,-1.00,,,
PEG-9 Diethylmonium Chloride,,-1.00,,,
PEG-9 Distearate,,-1.00,,,
Poloxamer 105,,-1.00,,,
Poloxamer 123,,-1.00,,,
Poloxamer 181,,-1.00,,,
Poloxamer 185,,-1.00,,,
Poloxamer 231,,-1.00,,,
Poloxamer 335,,-1.00,,,
Poloxamine 1504,,-1.00,,,
Polyglyceryl-10 Caprate,,-1.00,,,
Polyglyceryl-10 Decastearate,,-1.00,,,
Polyglyceryl-10 Dodecabehenate,,-1.00,,,
Polyglyceryl-10 Heptastearate,,-1.00,,,
Polyglyceryl-10 Palmitate,,-1.00,,,
Polyglyceryl-10 Triisostearate,,-1.00,,,
Polyglyceryl-10 Trioleate,,-1.00,,,
Polyglyceryl-10 Tristearate,,-1.00,,,
Polyglyceryl-2 Isostearate,,-1.00,,,
Polyglyceryl-2 Sesquicaprylate,,-1.00,,,
Polyglyceryl-2 Sesquiisostearate,,-1.00,,,
Polyglyceryl-2 Sesquistearate,,-1.00,,,
Polyglyceryl-3 Cetyl Ether,,-1.00,,,
Polyglyceryl-3 Dicitrate,,-1.00,,,
Polyglyceryl-3 Pentaricinoleate,,-1.00,,,
Polyglyceryl-4 Cocoate,,-1.00,,,
Polyglyceryl-4 Oleyl Ether,,-1.00,,,
Polyglyceryl-4 Polyricinoleate,,-1.00,,,
Polyglyceryl-5 Triisostearate,,-1.00,,,
Polyglyceryl-6 Hexaoleate,,-1.00,,,
Polyglyceryl-6 Laurate,,-1.00,,,
PPG-1-Ceteth-1,,-1.00,,,
PPG-10 Oleyl Ether,,-1.00,,,
PPG-10-Buteth-9,,-1.00,,,
PPG-12-Buteth-16,,-1.00,,,
PPG-18 Butyl Ether,,-1.00,,,
PPG-2 C12-15 Pareth-6,,-1.00,,,
Polyglyceryl-6 Octastearate,,-1.00,,,
Polyglyceryl-6 Sesquiisostearate,,-1.00,,,
Polyoxyethylene Glyceryl Monostearate,,-1.00,,,
Polyvinyl Stearyl Ether,,-1.00,,,
Potassium Caseinate,,-1.00,,,
Potassium Isosteareth-2 Phosphate,,-1.00,,,
Potassium Sunflowerseedate,,-1.00,,,
PPG-20 Cetyl Ether,,-1.00,,,
PPG-23 Oleyl Ether,,-1.00,,,
PPG-23-Steareth-34,,-1.00,,,
PPG-4-Ceteth-1,,-1.00,,,
PPG-4-Deceth-4,,-1.00,,,
Sodium Butylglucosides Hydroxypropyl Phosphate,,-1.00,,,
Sodium C9-11 Pareth-6 Carboxylate,,-1.00,,,
Sodium Caseinate,,-1.00,,,
Sodium Scymnol Sulfate,,-1.00,,,
Sodium Stearoyl Casein,,-1.00,,,
Sorbeth-30 Tetraoleate,,-1.00,,,
Sorbitan Diisostearate,,-1.00,,,
Sucrose Polylaurate,,-1.00,,,
Sorbitan Sesquistearate,,-1.00,,,
Sorbitan Tristearate,,-1.00,,,
Stearamidoethyl Diethylamine Phosphate,,-1.00,,,
Steareth-11,,-1.00,,,
Steareth-3 Phosphate,,-1.00,,,
Steareth-4,,-1.00,,,
Steareth-7,,-1.00,,,
Stearoyl Lactylic Acid,,-1.00,,,
